[2023-01-23T08:43:41.519225+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:41.846688+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:43:42.310605+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:43.350522+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:43.560519+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:43:43.981477+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:44.226918+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:44.575455+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:43:45.156319+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:05.346736+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:05.676219+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:45:05.949392+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:26.389956+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:26.838901+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:45:27.109556+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:51.484730+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:45:52.188082+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:45:52.533858+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:01.897475+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:02.489797+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:48:02.869362+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:07.692939+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:08.002072+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:48:08.360812+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:14.924780+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:15.295463+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:48:15.849856+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:48:20.844200+00:00] Portfolios.INFO: Kontaktai atidaryti [] []
